ticker,Date,Open,High,Low,Close
QCOM,1991/12/13,0.53,0.59,0.52,0.56
QCOM,1991/12/16,0.56,0.58,0.54,0.55
QCOM,1991/12/17,0.58,0.58,0.55,0.55
QCOM,1991/12/18,0.55,0.57,0.55,0.57
QCOM,1991/12/19,0.57,0.57,0.55,0.55
QCOM,1991/12/20,0.55,0.57,0.55,0.56
QCOM,1991/12/23,0.57,0.57,0.55,0.56
QCOM,1991/12/24,0.55,0.6,0.55,0.6
QCOM,1991/12/26,0.59,0.69,0.59,0.69
QCOM,1991/12/27,0.7,0.7,0.65,0.66
QCOM,1991/12/30,0.66,0.68,0.65,0.68
QCOM,1991/12/31,0.68,0.78,0.67,0.77
QCOM,1992/1/2,0.77,0.87,0.77,0.86
QCOM,1992/1/3,0.87,0.89,0.84,0.88
QCOM,1992/1/6,0.9,0.9,0.76,0.82
QCOM,1992/1/7,0.81,0.84,0.79,0.8
QCOM,1992/1/8,0.8,0.8,0.68,0.7
QCOM,1992/1/9,0.73,0.77,0.72,0.77
QCOM,1992/1/10,0.78,0.79,0.73,0.75
QCOM,1992/1/13,0.77,0.84,0.74,0.81
QCOM,1992/1/14,0.84,0.84,0.8,0.82
QCOM,1992/1/15,0.84,0.85,0.81,0.83
QCOM,1992/1/16,0.84,0.84,0.77,0.8
QCOM,1992/1/17,0.79,0.81,0.79,0.79
QCOM,1992/1/20,0.78,0.8,0.74,0.78
QCOM,1992/1/21,0.8,0.8,0.73,0.75
QCOM,1992/1/22,0.75,0.78,0.73,0.78
QCOM,1992/1/23,0.8,0.8,0.73,0.73
QCOM,1992/1/24,0.73,0.76,0.73,0.74
QCOM,1992/1/27,0.76,0.76,0.71,0.73
QCOM,1992/1/28,0.73,0.73,0.69,0.7
QCOM,1992/1/29,0.71,0.73,0.69,0.72
QCOM,1992/1/30,0.71,0.77,0.71,0.74
QCOM,1992/1/31,0.74,0.75,0.73,0.75
QCOM,1992/2/3,0.75,0.8,0.74,0.77
QCOM,1992/2/4,0.77,0.8,0.76,0.78
QCOM,1992/2/5,0.77,0.79,0.77,0.77
QCOM,1992/2/6,0.8,0.8,0.76,0.76
QCOM,1992/2/7,0.78,0.78,0.68,0.73
QCOM,1992/2/10,0.71,0.73,0.69,0.7
QCOM,1992/2/11,0.71,0.73,0.7,0.71
QCOM,1992/2/12,0.71,0.77,0.7,0.75
QCOM,1992/2/13,0.77,0.77,0.71,0.71
