ticker,Date,Open,High,Low,Close
TXN,1972/6/1,0,1.7,1.69,1.7
TXN,1972/6/2,1.72,1.74,1.72,1.73
TXN,1972/6/5,1.73,1.75,1.73,1.74
TXN,1972/6/6,1.74,1.74,1.66,1.66
TXN,1972/6/7,1.66,1.67,1.66,1.66
TXN,1972/6/8,1.66,1.68,1.65,1.66
TXN,1972/6/9,1.66,1.66,1.64,1.65
TXN,1972/6/12,1.66,1.66,1.66,1.66
TXN,1972/6/13,1.67,1.73,1.67,1.73
TXN,1972/6/14,1.74,1.77,1.74,1.76
TXN,1972/6/15,1.76,1.78,1.75,1.76
TXN,1972/6/16,1.75,1.75,1.73,1.75
TXN,1972/6/19,1.74,1.74,1.73,1.74
TXN,1972/6/20,1.75,1.77,1.75,1.77
TXN,1972/6/21,1.77,1.78,1.76,1.76
TXN,1972/6/22,1.76,1.76,1.75,1.76
TXN,1972/6/23,1.76,1.78,1.76,1.78
TXN,1972/6/26,1.78,1.78,1.77,1.78
TXN,1972/6/27,1.78,1.78,1.75,1.76
TXN,1972/6/28,1.76,1.76,1.75,1.75
TXN,1972/6/29,1.74,1.74,1.72,1.73
TXN,1972/6/30,1.73,1.77,1.73,1.76
TXN,1972/7/3,1.76,1.76,1.74,1.75
TXN,1972/7/5,1.75,1.82,1.75,1.8
TXN,1972/7/6,1.81,1.83,1.81,1.83
TXN,1972/7/7,1.83,1.85,1.83,1.85
TXN,1972/7/10,1.85,1.85,1.81,1.81
TXN,1972/7/11,1.81,1.83,1.8,1.81
TXN,1972/7/12,1.81,1.83,1.8,1.8
TXN,1972/7/13,1.8,1.8,1.78,1.79
TXN,1972/7/14,1.79,1.81,1.79,1.79
TXN,1972/7/17,1.79,1.79,1.74,1.74
TXN,1972/7/18,1.73,1.73,1.7,1.72
TXN,1972/7/19,1.73,1.76,1.73,1.74
TXN,1972/7/20,1.74,1.74,1.73,1.73
TXN,1972/7/21,1.73,1.77,1.73,1.77
TXN,1972/7/24,1.79,1.83,1.79,1.82
TXN,1972/7/25,1.82,1.82,1.81,1.82
TXN,1972/7/26,1.82,1.83,1.82,1.83
TXN,1972/7/27,1.83,1.85,1.83,1.83
TXN,1972/7/28,1.82,1.82,1.8,1.8
TXN,1972/7/31,1.8,1.81,1.78,1.79
TXN,1972/8/1,1.79,1.82,1.79,1.82
TXN,1972/8/2,1.83,1.84,1.83,1.84
TXN,1972/8/3,1.84,1.85,1.83,1.85
TXN,1972/8/4,1.85,1.9,1.85,1.89
TXN,1972/8/7,1.89,1.92,1.89,1.92
TXN,1972/8/8,1.92,1.94,1.9,1.94
TXN,1972/8/9,1.94,1.98,1.94,1.97
TXN,1972/8/10,1.97,1.97,1.96,1.97
TXN,1972/8/11,1.96,1.96,1.95,1.96
TXN,1972/8/14,1.96,1.96,1.92,1.92
TXN,1972/8/15,1.92,1.93,1.88,1.88
TXN,1972/8/16,1.88,1.88,1.85,1.85
TXN,1972/8/17,1.85,1.86,1.83,1.83
TXN,1972/8/18,1.84,1.85,1.84,1.85
TXN,1972/8/21,1.85,1.85,1.81,1.81
TXN,1972/8/22,1.81,1.81,1.8,1.8
TXN,1972/8/23,1.8,1.82,1.8,1.8
TXN,1972/8/24,1.8,1.81,1.8,1.8
TXN,1972/8/25,1.8,1.82,1.8,1.82
TXN,1972/8/28,1.82,1.83,1.8,1.8
TXN,1972/8/29,1.8,1.82,1.8,1.82
TXN,1972/8/30,1.82,1.83,1.8,1.81
TXN,1972/8/31,1.81,1.82,1.79,1.82
TXN,1972/9/1,1.83,1.85,1.83,1.83
TXN,1972/9/5,1.83,1.83,1.81,1.81
TXN,1972/9/6,1.81,1.81,1.78,1.79
TXN,1972/9/7,1.79,1.79,1.74,1.75
TXN,1972/9/8,1.75,1.76,1.74,1.74
TXN,1972/9/11,1.72,1.72,1.7,1.7
TXN,1972/9/12,1.7,1.72,1.66,1.68
TXN,1972/9/13,1.68,1.72,1.67,1.72
TXN,1972/9/14,1.71,1.71,1.68,1.71
TXN,1972/9/15,1.7,1.7,1.69,1.7
TXN,1972/9/18,1.7,1.7,1.67,1.69
TXN,1972/9/19,1.69,1.7,1.69,1.7
TXN,1972/9/20,1.7,1.7,1.66,1.7
TXN,1972/9/21,1.7,1.75,1.7,1.75
TXN,1972/9/22,1.75,1.77,1.75,1.77
TXN,1972/9/25,1.77,1.78,1.75,1.75
TXN,1972/9/26,1.75,1.77,1.75,1.76
TXN,1972/9/27,1.76,1.81,1.74,1.81
TXN,1972/9/28,1.81,1.93,1.79,1.93
TXN,1972/9/29,1.9,1.9,1.82,1.84
TXN,1972/10/2,1.84,1.84,1.82,1.83
TXN,1972/10/3,1.83,1.83,1.81,1.83
TXN,1972/10/4,1.83,1.83,1.81,1.82
TXN,1972/10/5,1.82,1.82,1.78,1.78
TXN,1972/10/6,1.78,1.8,1.73,1.76
TXN,1972/10/9,1.76,1.77,1.76,1.77
TXN,1972/10/10,1.77,1.81,1.77,1.79
TXN,1972/10/11,1.79,1.79,1.76,1.77
TXN,1972/10/12,1.77,1.77,1.74,1.74
TXN,1972/10/13,1.74,1.74,1.73,1.73
TXN,1972/10/16,1.73,1.73,1.71,1.71
TXN,1972/10/17,1.71,1.72,1.71,1.72
TXN,1972/10/18,1.72,1.74,1.72,1.74
TXN,1972/10/19,1.74,1.76,1.73,1.73
TXN,1972/10/20,1.73,1.75,1.73,1.74
TXN,1972/10/23,1.76,1.83,1.76,1.82
TXN,1972/10/24,1.82,1.84,1.79,1.83
TXN,1972/10/25,1.83,1.85,1.82,1.82
TXN,1972/10/26,1.82,1.84,1.82,1.82
TXN,1972/10/27,1.82,1.82,1.81,1.81
TXN,1972/10/30,1.81,1.82,1.8,1.82
TXN,1972/10/31,1.82,1.85,1.82,1.85
TXN,1972/11/1,1.85,1.86,1.83,1.84
TXN,1972/11/2,1.84,1.85,1.83,1.84
TXN,1972/11/3,1.84,1.84,1.83,1.83
TXN,1972/11/6,1.83,1.84,1.76,1.77
TXN,1972/11/8,1.77,1.79,1.7,1.71
TXN,1972/11/9,1.7,1.7,1.67,1.68
TXN,1972/11/10,1.68,1.7,1.65,1.65
TXN,1972/11/13,1.65,1.66,1.64,1.66
TXN,1972/11/14,1.68,1.74,1.68,1.73
TXN,1972/11/15,1.73,1.73,1.67,1.69
TXN,1972/11/16,1.69,1.71,1.69,1.71
TXN,1972/11/17,1.71,1.72,1.7,1.71
TXN,1972/11/20,1.71,1.71,1.7,1.71
TXN,1972/11/21,1.71,1.71,1.69,1.7
TXN,1972/11/22,1.7,1.71,1.69,1.7
TXN,1972/11/24,1.7,1.71,1.69,1.69
TXN,1972/11/27,1.69,1.71,1.69,1.7
TXN,1972/11/28,1.7,1.72,1.7,1.71
TXN,1972/11/29,1.71,1.73,1.71,1.72
TXN,1972/11/30,1.72,1.78,1.72,1.78
TXN,1972/12/1,1.78,1.8,1.78,1.8
TXN,1972/12/4,1.8,1.8,1.79,1.79
TXN,1972/12/5,1.79,1.79,1.76,1.78
TXN,1972/12/6,1.78,1.79,1.78,1.79
TXN,1972/12/7,1.79,1.79,1.78,1.78
TXN,1972/12/8,1.78,1.79,1.78,1.78
TXN,1972/12/11,1.78,1.79,1.77,1.77
TXN,1972/12/12,1.77,1.78,1.77,1.77
TXN,1972/12/13,1.77,1.79,1.77,1.79
TXN,1972/12/14,1.8,1.81,1.8,1.8
TXN,1972/12/15,1.8,1.8,1.79,1.8
TXN,1972/12/18,1.79,1.79,1.76,1.77
TXN,1972/12/19,1.77,1.78,1.76,1.78
TXN,1972/12/20,1.78,1.79,1.77,1.78
TXN,1972/12/21,1.78,1.79,1.76,1.76
TXN,1972/12/22,1.76,1.77,1.75,1.77
TXN,1972/12/26,1.79,1.8,1.79,1.8
TXN,1972/12/27,1.8,1.83,1.8,1.83
TXN,1972/12/29,1.85,1.89,1.85,1.89
TXN,1973/1/2,1.91,1.93,1.91,1.92
TXN,1973/1/3,1.92,1.94,1.92,1.92
TXN,1973/1/4,1.92,1.92,1.87,1.92
TXN,1973/1/5,1.92,1.93,1.9,1.92
TXN,1973/1/8,1.92,1.93,1.91,1.93
TXN,1973/1/9,1.93,1.94,1.92,1.94
TXN,1973/1/10,1.94,1.95,1.92,1.92
TXN,1973/1/11,1.92,1.95,1.92,1.92
TXN,1973/1/12,1.92,1.92,1.88,1.88
TXN,1973/1/15,1.88,1.91,1.83,1.83
TXN,1973/1/16,1.83,1.86,1.79,1.84
TXN,1973/1/17,1.84,1.85,1.83,1.85
TXN,1973/1/18,1.85,1.91,1.85,1.91
TXN,1973/1/19,1.91,1.91,1.88,1.9
TXN,1973/1/22,1.9,1.92,1.9,1.91
TXN,1973/1/23,1.91,1.96,1.9,1.96
TXN,1973/1/24,1.96,1.97,1.94,1.94
TXN,1973/1/26,1.94,1.95,1.94,1.94
TXN,1973/1/29,1.94,1.94,1.93,1.94
TXN,1973/1/30,1.94,1.98,1.94,1.94
TXN,1973/1/31,1.94,1.97,1.94,1.95
TXN,1973/2/1,1.95,1.96,1.9,1.9
TXN,1973/2/2,1.89,1.89,1.87,1.88
TXN,1973/2/5,1.87,1.87,1.84,1.86
TXN,1973/2/6,1.88,1.91,1.88,1.9
TXN,1973/2/7,1.9,1.92,1.88,1.88
TXN,1973/2/8,1.88,1.88,1.86,1.88
TXN,1973/2/9,1.89,1.91,1.89,1.9
TXN,1973/2/12,1.91,1.95,1.91,1.95
TXN,1973/2/13,1.95,1.97,1.95,1.95
TXN,1973/2/14,1.95,1.95,1.92,1.93
TXN,1973/2/15,1.93,1.93,1.92,1.92
TXN,1973/2/16,1.92,1.93,1.92,1.92
TXN,1973/2/20,1.92,1.92,1.9,1.91
TXN,1973/2/21,1.9,1.9,1.88,1.88
TXN,1973/2/22,1.88,1.89,1.86,1.89
TXN,1973/2/23,1.89,1.89,1.86,1.87
TXN,1973/2/26,1.85,1.85,1.81,1.82
TXN,1973/2/27,1.82,1.83,1.79,1.8
TXN,1973/2/28,1.8,1.83,1.77,1.82
TXN,1973/3/1,1.82,1.84,1.76,1.76
TXN,1973/3/2,1.76,1.79,1.75,1.79
TXN,1973/3/5,1.79,1.82,1.79,1.81
TXN,1973/3/6,1.82,1.88,1.82,1.88
TXN,1973/3/7,1.88,1.89,1.87,1.89
TXN,1973/3/8,1.89,1.91,1.89,1.9
TXN,1973/3/9,1.9,1.9,1.9,1.9
