,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
4421,Intel i815 Graphics,GPU,2000/1/1,150,,,,133,Intel,Intel,,,
4357,NVIDIA Vanta LT,GPU,2000/3/1,250,,90,15,105,TSMC,NVIDIA,,,
3074,Sony Playstation 2 GPU 250nm,GPU,2000/3/4,250,79,279,54,147,Sony,Other,,,
3500,ATI Radeon 7200 64 MB,GPU,2000/4/1,180,23,111,30,166,TSMC,ATI,,,
3721,ATI Radeon DDR,GPU,2000/4/1,180,23,115,30,166,TSMC,ATI,,,
4246,ATI Radeon 7200,GPU,2000/4/1,180,23,111,30,166,TSMC,ATI,,,
4061,NVIDIA GeForce2 GTS PRO,GPU,2000/4/26,150,,88,25,200,TSMC,NVIDIA,,,
4305,NVIDIA GeForce2 GTS,GPU,2000/4/26,150,,88,25,200,TSMC,NVIDIA,,,
2472,ATI Radeon DDR MAXX,GPU,2000/6/1,180,,115,30,148,TSMC,ATI,,,
2516,ATI Radeon SDR PCI,GPU,2000/6/1,180,23,115,30,166,TSMC,ATI,,,
3164,ATI Fire GL2,GPU,2000/6/1,,,156,,120,IBM,ATI,,,
3190,ATI Radeon 7200,GPU,2000/6/1,180,23,111,30,143,TSMC,ATI,,,
3486,ATI Radeon SDR,GPU,2000/6/1,180,23,115,30,166,TSMC,ATI,,,
3720,ATI Fire GL3,GPU,2000/6/1,,,156,,120,IBM,ATI,,,
170,AMD Athlon 700,CPU,2000/6/5,180,40,120,37,700,Unknown,AMD,,,
303,AMD Athlon 800,CPU,2000/6/5,180,45,120,37,800,Unknown,AMD,,,
376,AMD Athlon 900,CPU,2000/6/5,180,50,120,37,900,Unknown,AMD,,,
434,AMD Athlon 750,CPU,2000/6/5,180,43,120,37,750,Unknown,AMD,,,
621,AMD Athlon 950,CPU,2000/6/5,180,52,120,37,950,Unknown,AMD,,,
1056,AMD Athlon 850,CPU,2000/6/5,180,47,120,37,850,Unknown,AMD,,,
1388,AMD Athlon 600,CPU,2000/6/5,180,38,120,37,600,Unknown,AMD,,,
1961,AMD Athlon 1000,CPU,2000/6/5,180,54,120,37,1000,Unknown,AMD,,,
2008,AMD Athlon 650,CPU,2000/6/5,180,38,120,37,650,Unknown,AMD,,,
2466,3dfx Voodoo5 5500 PCI,GPU,2000/6/22,250,30,112,14,166,TSMC,Other,,,
4279,3dfx Voodoo5 5500 AGP,GPU,2000/6/22,250,30,112,14,166,TSMC,Other,,,
2951,NVIDIA GeForce2 MX DH Pro TV,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
2973,NVIDIA GeForce2 MX,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
3007,NVIDIA GeForce2 MX PCI,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
4317,NVIDIA GeForce2 MX DH Pro TV PCI,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
2307,NVIDIA Quadro2 MXR Low Profile,GPU,2000/7/25,180,,64,20,200,TSMC,NVIDIA,,,
2705,NVIDIA Quadro2 MXR,GPU,2000/7/25,180,,64,20,200,TSMC,NVIDIA,,,
1311,Intel Pentium III 1133,CPU,2000/7/31,180,29,80,44,1133,Intel,Intel,,,
3682,ATI All-In-Wonder Radeon 7200,GPU,2000/7/31,180,,111,30,166,TSMC,ATI,,,
22,AMD Athlon 1100,CPU,2000/8/14,180,60,120,37,1100,Unknown,AMD,,,
3096,NVIDIA GeForce2 Ultra,GPU,2000/8/14,150,,88,25,250,TSMC,NVIDIA,,,
2409,ATI GameCube GPU,GPU,2000/8/24,180,45,120,51,162,NEC,ATI,,,
3502,3dfx Voodoo4 4500 PCI,GPU,2000/10/13,250,15,112,14,166,TSMC,Other,,,
4187,3dfx Voodoo4 4500 AGP,GPU,2000/10/13,250,15,112,14,166,TSMC,Other,,,
407,AMD Athlon 1200,CPU,2000/10/17,180,66,120,37,1200,Unknown,AMD,,,
